iteration	TMSE
1284		0.013287
1285		0.013285
1286		0.013283
1287		0.013281
1288		0.013280
1289		0.013278
1290		0.013276
1291		0.013274
1292		0.013272
1293		0.013270
1294		0.013268
1295		0.013266
1296		0.013264
1297		0.013263
1298		0.013261
1299		0.013259
1300		0.013257
1301		0.013255
1302		0.013253
1303		0.013251
1304		0.013249
1305		0.013248
1306		0.013246
1307		0.013244
1308		0.013242
1309		0.013240
1310		0.013238
1311		0.013236
1312		0.013234
1313		0.013233
1314		0.013231
1315		0.013229
1316		0.013227
1317		0.013225
1318		0.013223
1319		0.013221
1320		0.013219
1321		0.013218
1322		0.013216
1323		0.013214
1324		0.013212
1325		0.013210
1326		0.013208
1327		0.013206
1328		0.013204
1329		0.013203
1330		0.013201
1331		0.013199
1332		0.013197
1333		0.013195
1334		0.013193
1335		0.013191
1336		0.013190
1337		0.013188
1338		0.013186
1339		0.013184
1340		0.013182
1341		0.013180
1342		0.013178
1343		0.013176
1344		0.013175
1345		0.013173
1346		0.013171
1347		0.013169
1348		0.013167
1349		0.013165
1350		0.013163
1351		0.013162
1352		0.013160
1353		0.013158
1354		0.013156
1355		0.013154
1356		0.013152
1357		0.013150
1358		0.013149
1359		0.013147
1360		0.013145
1361		0.013143
1362		0.013141
1363		0.013139
1364		0.013137
1365		0.013135
1366		0.013134
1367		0.013132
1368		0.013130
1369		0.013128
1370		0.013126
1371		0.013124
1372		0.013122
1373		0.013121
1374		0.013119
1375		0.013117
1376		0.013115
1377		0.013113
1378		0.013111
1379		0.013110
1380		0.013108
1381		0.013106
1382		0.013104
1383		0.013102
1384		0.013100
1385		0.013098
1386		0.013097
1387		0.013095
1388		0.013093
1389		0.013091
1390		0.013089
1391		0.013087
1392		0.013085
1393		0.013084
1394		0.013082
1395		0.013080
1396		0.013078
1397		0.013076
1398		0.013074
1399		0.013073
1400		0.013071
1401		0.013069
1402		0.013067
1403		0.013065
1404		0.013063
1405		0.013061
1406		0.013060
1407		0.013058
1408		0.013056
1409		0.013054
1410		0.013052
1411		0.013050
1412		0.013049
1413		0.013047
1414		0.013045
1415		0.013043
1416		0.013041
